"National.Database.Number","Genus","Common.Name","Affiliation","City...from.strandings.table","County","State","Locality.Detail","Latitude","Latitude.Units","Longitude","Longitude.Units","Year.of.Observation","Observation.Date","Mammal.Type"
"NW-1994-1024858",NA,"UNKNOWN OTARIID",NA,"Newport","Lincoln","OR",".3 mile S of Theil Creek",NA,NA,NA,NA,1994,"1994-SEP-26","Pinniped"
"NW-1995-1024359",NA,"UNKNOWN OTARIID",NA,"Port Townsend","Jefferson","WA","between Quincy & Adam St.",NA,NA,NA,NA,1995,"1995-DEC-08","Pinniped"
"NW-1995-1024197",NA,"UNKNOWN OTARIID",NA,"Seattle","King","WA","Alki Beach between 55th and 56th Sts.",NA,NA,NA,NA,1995,"1995-JAN-26","Pinniped"
"NW-1995-1024218",NA,"UNKNOWN OTARIID",NA,"Bandon","Coos","OR","Devil's Kitchen; southwest of Bandon on Beach Loop Rd.",NA,NA,NA,NA,1995,"1995-MAR-31","Pinniped"
"NW-1995-1024246",NA,"UNKNOWN OTARIID",NA,"Whidbey Island","Island","WA","Ledgewood Beach Access",NA,NA,NA,NA,1995,"1995-MAY-31","Pinniped"
"NW-1995-1024146",NA,"UNKNOWN OTARIID",NA,"Florence","Lane","OR","S jetty on beach access storage area",NA,NA,NA,NA,1995,"1995-NOV-17","Pinniped"
"NW-1995-1024318",NA,"UNKNOWN OTARIID",NA,"Bandon","Coos","OR","Seven Devils Wayside; Bullards Beach SP",NA,NA,NA,NA,1995,"1995-SEP-08","Pinniped"
"NW-1995-1024325",NA,"UNKNOWN OTARIID",NA,"Bandon","Coos","OR","half-way between Elephant Rock & Table Rock; Bullards Beach State Park",NA,NA,NA,NA,1995,"1995-SEP-12","Pinniped"
"NW-1995-1024326",NA,"UNKNOWN OTARIID",NA,"Bandon","Coos","OR",".5 mile N P-60; Bullards Beach SP",NA,NA,NA,NA,1995,"1995-SEP-18","Pinniped"
"NW-1995-1024337",NA,"UNKNOWN OTARIID",NA,"Bandon","Coos","OR","361 yds. N of lighthouse; Bullards Beach State Park",NA,NA,NA,NA,1995,"1995-SEP-28","Pinniped"
"NW-1996-1023328",NA,"UNKNOWN OTARIID",NA,"Manchester","Kitsap","WA","west of Manchester State Park",NA,NA,NA,NA,1996,"1996-APR-09","Pinniped"
"NW-1996-1024054",NA,"UNKNOWN OTARIID",NA,"Neskowin","Tillamook","OR","Port a Point",NA,NA,NA,NA,1996,"1996-AUG-09","Pinniped"
"NW-1996-1023540",NA,"UNKNOWN OTARIID",NA,"Baby Island","Island","WA","Baby Island Beach Club",NA,NA,NA,NA,1996,"1996-DEC-02","Pinniped"
"NW-1996-1023299",NA,"UNKNOWN OTARIID",NA,NA,"Kitsap","WA","Bolin Point",NA,NA,NA,NA,1996,"1996-JAN-24","Pinniped"
"NW-1996-1023400",NA,"UNKNOWN OTARIID",NA,"Manchester","Kitsap","WA",NA,NA,NA,NA,NA,1996,"1996-JUL-02","Pinniped"
"NW-1996-1023409",NA,"UNKNOWN OTARIID",NA,"Des Moines","King","WA","22999 Marine View Dr.",NA,NA,NA,NA,1996,"1996-JUL-08","Pinniped"
"NW-1996-1023410",NA,"UNKNOWN OTARIID",NA,"Burien","King","WA","16933 Maple View Dr.",NA,NA,NA,NA,1996,"1996-JUL-08","Pinniped"
"NW-1996-1023408",NA,"UNKNOWN OTARIID",NA,"Mukilteo","Snohomish","WA","11233 12th; Edgewater Beach",NA,NA,NA,NA,1996,"1996-JUL-08","Pinniped"
"NW-1996-1023416",NA,"UNKNOWN OTARIID",NA,"Seattle","King","WA","just south of Alki Pt. Lighthouse",NA,NA,NA,NA,1996,"1996-JUL-10","Pinniped"
"NW-1996-1023419",NA,"UNKNOWN OTARIID",NA,"Edmonds","Snohomish","WA","near park",NA,NA,NA,NA,1996,"1996-JUL-11","Pinniped"
"NW-1996-1023417",NA,"UNKNOWN OTARIID",NA,"Seattle","King","WA","Lincoln Park",NA,NA,NA,NA,1996,"1996-JUL-11","Pinniped"
"NW-1996-1023426",NA,"UNKNOWN OTARIID",NA,"Seattle","King","WA","near 3225 Alki Blvd.",NA,NA,NA,NA,1996,"1996-JUL-16","Pinniped"
"NW-1996-1023454",NA,"UNKNOWN OTARIID",NA,"Seattle","King","WA","3855 Beach Dr. SW",NA,NA,NA,NA,1996,"1996-JUL-29","Pinniped"
"NW-1996-1023383",NA,"UNKNOWN OTARIID",NA,"Burien","King","WA","12701 Standring Dr. SW",NA,NA,NA,NA,1996,"1996-JUN-02","Pinniped"
"NW-1996-1023384",NA,"UNKNOWN OTARIID",NA,"Coos","Coos","OR","Coos",NA,NA,NA,NA,1996,"1996-JUN-02","Pinniped"
"NW-1996-1023388",NA,"UNKNOWN OTARIID",NA,"Bainbridge Island","Kitsap","WA","Restoration Point",NA,NA,NA,NA,1996,"1996-JUN-10","Pinniped"
"NW-1996-1023397",NA,"UNKNOWN OTARIID",NA,"Seattle","King","WA","5201 Beach Dr SW",NA,NA,NA,NA,1996,"1996-JUN-12","Pinniped"
"NW-1996-1023390",NA,"UNKNOWN OTARIID",NA,"Gig Harbor","Pierce","WA","8406 Warren Dr. NW",NA,NA,NA,NA,1996,"1996-JUN-14","Pinniped"
"NW-1996-1023393",NA,"UNKNOWN OTARIID",NA,"Port Orchard","Kitsap","WA","Yukon Harbor",NA,NA,NA,NA,1996,"1996-JUN-25","Pinniped"
"NW-1996-1023348",NA,"UNKNOWN OTARIID",NA,"Bainbridge Island","Kitsap","WA","in water off island",NA,NA,NA,NA,1996,"1996-MAY-08","Pinniped"
"NW-1996-1023376",NA,"UNKNOWN OTARIID",NA,"Seattle","King","WA","4133 Beach Dr.",NA,NA,NA,NA,1996,"1996-MAY-30","Pinniped"
"NW-1996-1023377",NA,"UNKNOWN OTARIID",NA,"Maury Island","Kitsap","WA","east side KVI beach",NA,NA,NA,NA,1996,"1996-MAY-30","Pinniped"
"NW-1996-1023528",NA,"UNKNOWN OTARIID",NA,"Bainbridge Island","Kitsap","WA","Arrow Point; 12101 Arrow Point Loop NE",NA,NA,NA,NA,1996,"1996-NOV-06","Pinniped"
"NW-1996-1023498",NA,"UNKNOWN OTARIID",NA,"Long Beach","Pacific","WA","on beach at 171 st St.",NA,NA,NA,NA,1996,"1996-SEP-06","Pinniped"
"NW-1996-1024060",NA,"UNKNOWN OTARIID",NA,"Lincoln City","Lincoln","OR","bottom of Division Street",NA,NA,NA,NA,1996,"1996-SEP-13","Pinniped"
"NW-1997-1027450",NA,"UNKNOWN OTARIID",NA,"Astoria","Clatsop","OR","5th Ave., on Columbia",NA,NA,NA,NA,1997,"1997-APR-18","Pinniped"
"NW-1997-1023915",NA,"UNKNOWN OTARIID",NA,"Newport","Lincoln","OR","in front of Shilo Convention Center",NA,NA,NA,NA,1997,"1997-FEB-17","Pinniped"
"NW-1997-1027798",NA,"UNKNOWN OTARIID",NA,"Shoreline","King","WA","Richmond Beach",NA,NA,NA,NA,1997,"1997-JUL-18","Pinniped"
"NW-1997-1027811",NA,"UNKNOWN OTARIID",NA,"Seaside","Clatsop","OR","Avenue K",NA,NA,NA,NA,1997,"1997-JUL-23","Pinniped"
"NW-1997-1027825",NA,"UNKNOWN OTARIID",NA,NA,"Unknown","WA","in front of residential house NE 18351 North Shore Rd.",NA,NA,NA,NA,1997,"1997-JUL-26","Pinniped"
"NW-1997-1027657",NA,"UNKNOWN OTARIID",NA,"Port Orchard","Kitsap","WA","off of Beach Rd. ; across the street from Snug Harbor mobile home park",NA,NA,NA,NA,1997,"1997-JUN-03","Pinniped"
"NW-1997-1027676",NA,"UNKNOWN OTARIID",NA,"Port Orchard","Kitsap","WA","mouth of Curly Creek",NA,NA,NA,NA,1997,"1997-JUN-10","Pinniped"
"NW-1997-1027683",NA,"UNKNOWN OTARIID",NA,"Burien","King","WA","near Seahurst Park, south of 142nd & 15th Ave.S.",NA,NA,NA,NA,1997,"1997-JUN-14","Pinniped"
"NW-1997-1027684",NA,"UNKNOWN OTARIID",NA,NA,"Kitsap","WA","on Beach",NA,NA,NA,NA,1997,"1997-JUN-14","Pinniped"
"NW-1997-1027712",NA,"UNKNOWN OTARIID",NA,"Ocean Shores","Grays Harbor","WA","2 miles north of the Illahee approach- approach between Ocean Shores & Ocean City",NA,NA,NA,NA,1997,"1997-JUN-18","Pinniped"
"NW-1997-1027713",NA,"UNKNOWN OTARIID",NA,"Everett","Snohomish","WA","floating off of a marine terminal between piers 1 & 3 in Everett; out in front of pier",NA,NA,NA,NA,1997,"1997-JUN-18","Pinniped"
"NW-1997-1027716",NA,"UNKNOWN OTARIID",NA,NA,"Skagit","WA","at Burrows Bay",NA,NA,NA,NA,1997,"1997-JUN-19","Pinniped"
"NW-1997-1023967",NA,"UNKNOWN OTARIID",NA,"Lincoln City","Lincoln","OR","Spanish Head",NA,NA,NA,NA,1997,"1997-JUN-25","Pinniped"
"NW-1997-1027726",NA,"UNKNOWN OTARIID",NA,"Ocean city","Grays Harbor","WA","Ocean City State Park Beach approach towards the dunes near a dumped refrigerator",NA,NA,NA,NA,1997,"1997-JUN-27","Pinniped"
"NW-1997-1023209",NA,"UNKNOWN OTARIID",NA,"Seattle","Unknown","WA","at boat launch in Golden Gardens",NA,NA,NA,NA,1997,"1997-OCT-15","Pinniped"
"NW-1997-1023218",NA,"UNKNOWN OTARIID",NA,NA,"Unknown","WA",NA,NA,NA,NA,NA,1997,"1997-OCT-21","Pinniped"
"NW-1997-1023985",NA,"UNKNOWN OTARIID",NA,"Newport","Lincoln","OR","right at base of Vietnma Memorial Park; Nye Beach",NA,NA,NA,NA,1997,"1997-SEP-18","Pinniped"
"NW-1997-1023991",NA,"UNKNOWN OTARIID",NA,"Seal Rock","Lincoln","OR","Seal Rock; 1/2 mile S of Deer Creek",NA,NA,NA,NA,1997,"1997-SEP-25","Pinniped"
"NW-1998-1025059",NA,"UNKNOWN OTARIID",NA,"Bainbridge Is.","Kitsap","WA","near the boat ramp at Fort Ward SP.",NA,NA,NA,NA,1998,"1998-APR-15","Pinniped"
"NW-1998-1025081",NA,"UNKNOWN OTARIID",NA,"Mukilteo","Snohomish","WA","on the beach at Howarth Park",NA,NA,NA,NA,1998,"1998-APR-17","Pinniped"
"NW-1998-1025181",NA,"UNKNOWN OTARIID",NA,"Seattle","King","WA","200 yards off Blue Ridge, north Seattle",NA,NA,NA,NA,1998,"1998-APR-25","Pinniped"
"NW-1998-1025203",NA,"UNKNOWN OTARIID",NA,"Seattle","King","WA","highlands area north of Karkeek Park",NA,NA,NA,NA,1998,"1998-APR-27","Pinniped"
"NW-1998-1025214",NA,"UNKNOWN OTARIID",NA,"Bandon","Coos","OR","north of creek, west of Face Rock Golf Course",NA,NA,NA,NA,1998,"1998-APR-27","Pinniped"
"NW-1998-1025236",NA,"UNKNOWN OTARIID",NA,"Seahurst","King","WA","Seahurst Park",NA,NA,NA,NA,1998,"1998-APR-29","Pinniped"
"NW-1998-1025225",NA,"UNKNOWN OTARIID",NA,"Sammish Is.","Skagit","WA","Sammish Is.",NA,NA,NA,NA,1998,"1998-APR-29","Pinniped"
"NW-1998-1024583",NA,"UNKNOWN OTARIID",NA,"Seattle","King","WA","just north of Fauntleroy ferry dock",NA,NA,NA,NA,1998,"1998-JAN-06","Pinniped"
"NW-1998-1024616",NA,"UNKNOWN OTARIID",NA,"Port Orchard","Kitsap","WA","Waterman Dock north of Manchester",NA,NA,NA,NA,1998,"1998-JAN-12","Pinniped"
"NW-1998-1024660",NA,"UNKNOWN OTARIID",NA,"Manchester","Kitsap","WA","1 mile north of Southworth Ferry Dock",NA,NA,NA,NA,1998,"1998-JAN-13","Pinniped"
"NW-1998-1025501",NA,"UNKNOWN OTARIID",NA,"Port Orchard","Kitsap","WA","1/2 way between Anapolis and Waterman on Beach Dr.",NA,NA,NA,NA,1998,"1998-JUN-06","Pinniped"
"NW-1998-1025523",NA,"UNKNOWN OTARIID",NA,"Bremerton","Kitsap","WA","Enatai Beach",NA,NA,NA,NA,1998,"1998-JUN-08","Pinniped"
"NW-1998-1025556",NA,"UNKNOWN OTARIID",NA,"Bainbridge Is.","Kitsap","WA","near Lydell Rd between Lynnwood Ctr. And Fort Ward.",NA,NA,NA,NA,1998,"1998-JUN-22","Pinniped"
"NW-1998-1024860",NA,"UNKNOWN OTARIID",NA,"Tacoma","Pierce","WA","Dash point Park",NA,NA,NA,NA,1998,"1998-MAR-10","Pinniped"
"NW-1998-1024893",NA,"UNKNOWN OTARIID",NA,"Whidby Is.","Island","WA","Mutiny Bay",NA,NA,NA,NA,1998,"1998-MAR-20","Pinniped"
"NW-1998-1025270",NA,"UNKNOWN OTARIID",NA,"Enatai Beach","Kitsap","WA","in the mouth of the creek",NA,NA,NA,NA,1998,"1998-MAY-01","Pinniped"
"NW-1998-1025390",NA,"UNKNOWN OTARIID",NA,"Camano Is.","Island","WA","Tyee Beach",NA,NA,NA,NA,1998,"1998-MAY-19","Pinniped"
"NW-1998-1025434",NA,"UNKNOWN OTARIID",NA,"Clallam Bay","Clallam","WA","Clallam Bay",NA,NA,NA,NA,1998,"1998-MAY-30","Pinniped"
"NW-1999-1027022",NA,"UNKNOWN OTARIID",NA,"Blake Island","Kitsap","WA","north end",NA,NA,NA,NA,1999,"1999-APR-29","Pinniped"
"NW-1999-1027619",NA,"UNKNOWN OTARIID",NA,"Bandon","Unknown","OR","350 feet north of Coquille River Lighthouse",NA,NA,NA,NA,1999,"1999-AUG-10","Pinniped"
"NW-1999-1024161",NA,"UNKNOWN OTARIID",NA,"Everett","Snohomish","WA","S end of Jetty Island",NA,NA,NA,NA,1999,"1999-JUL-31","Pinniped"
"NW-1999-1027543",NA,"UNKNOWN OTARIID",NA,"Port Angeles","Clallam","WA","at the Coast Guard Station",NA,NA,NA,NA,1999,"1999-JUN-02","Pinniped"
"NW-1999-1027497",NA,"UNKNOWN OTARIID",NA,"Bainbridge Island","Kitsap","WA","Crystal Springs Beach",NA,NA,NA,NA,1999,"1999-MAR-18","Pinniped"
"NW-1999-1027499",NA,"UNKNOWN OTARIID",NA,"Seattle","King","WA","on beach by 3402 Beach Dr., Alki Point around from Lighthouse",NA,NA,NA,NA,1999,"1999-MAR-22","Pinniped"
"NW-1999-1027500",NA,"UNKNOWN OTARIID",NA,"Burien","King","WA","Shorewood on the Sound",NA,NA,NA,NA,1999,"1999-MAR-29","Pinniped"
"NW-1999-1027524",NA,"UNKNOWN OTARIID",NA,"Pt. Orchard","Kitsap","WA","in the lagoon at the mouth of Salco Creek",NA,NA,NA,NA,1999,"1999-MAY-04","Pinniped"
"NW-1999-1023381",NA,"UNKNOWN OTARIID",NA,"Whidbey Island","Island","WA","Useless Bay",NA,NA,NA,NA,1999,"1999-NOV-23","Pinniped"
"NW-2000-1023588",NA,"UNKNOWN OTARIID",NA,"Bainbridge Island","Kitsap","WA","south side of Restoration Point",NA,NA,NA,NA,2000,"2000-APR-06","Pinniped"
"NW-2000-1023602",NA,"UNKNOWN OTARIID",NA,"Bainbridge Island","Kitsap","WA","Rockaway Beach",NA,NA,NA,NA,2000,"2000-APR-21","Pinniped"
"NW-2000-1026954",NA,"UNKNOWN OTARIID",NA,"Hat Island","Snohomish","WA","N end opposite Camano Head",NA,NA,NA,NA,2000,"2000-FEB-26","Pinniped"
"NW-2000-1023650",NA,"UNKNOWN OTARIID",NA,"Union","Mason","WA","Alderbrook Inn",NA,NA,NA,NA,2000,"2000-JUL-07","Pinniped"
"NW-2000-1023617",NA,"UNKNOWN OTARIID",NA,"Port Orchard","Kitsap","WA","near 3805 Beach Drive",NA,NA,NA,NA,2000,"2000-JUN-16","Pinniped"
"NW-2000-1023632",NA,"UNKNOWN OTARIID",NA,"Port Orchard","Kitsap","WA","1/8 mile west of Waterman Dock",NA,NA,NA,NA,2000,"2000-JUN-29","Pinniped"
"NW-2000-1023861",NA,"UNKNOWN OTARIID",NA,"Newport","Lincoln","OR","Port Dock 1",NA,NA,NA,NA,2000,"2000-MAR-28","Pinniped"
"NW-2000-1024171",NA,"UNKNOWN OTARIID",NA,"Bainbridge Island","Kitsap","WA","North Skiff Point Beach",NA,NA,NA,NA,2000,"2000-OCT-30","Pinniped"
"NW-2001-1027253",NA,"UNKNOWN OTARIID",NA,"Lincoln City","Lincoln","OR","S of Cascade head near YMCA camp",NA,NA,NA,NA,2001,"2001-AUG-23","Pinniped"
"NW-2001-1027165",NA,"UNKNOWN OTARIID",NA,"Mukilteo","Snohomish","WA",".25 mile N of NMFS lab in front of old Air Force oil terminal",NA,NA,NA,NA,2001,"2001-DEC-05","Pinniped"
"NW-2001-1027144",NA,"UNKNOWN OTARIID",NA,"Suquamish","Kitsap","WA","near the boat ramp",NA,NA,NA,NA,2001,"2001-DEC-09","Pinniped"
"NW-2001-1027229",NA,"UNKNOWN OTARIID",NA,"Yachats","Lincoln","OR","S of town",NA,NA,NA,NA,2001,"2001-FEB-01","Pinniped"
"NW-2001-1026098",NA,"UNKNOWN OTARIID",NA,"Tulalip","Snohomish","WA","Port Susan; base of Hermosa Bluff","48.4",NA,"122.18",NA,2001,"2001-FEB-02","Pinniped"
"NW-2001-1024229",NA,"UNKNOWN OTARIID",NA,"Key Peninsula","Pierce","WA","near Devil's Head",NA,NA,NA,NA,2001,"2001-JAN-22","Pinniped"
"NW-2001-1026979",NA,"UNKNOWN OTARIID",NA,"Anacortes","Skagit","WA","floating in Guemes Channel",NA,NA,NA,NA,2001,"2001-JUL-03","Pinniped"
"NW-2001-1026992",NA,"UNKNOWN OTARIID",NA,"Ocean City","Grays Harbor","WA",".3 ile N of Ocean City Beach access",NA,NA,NA,NA,2001,"2001-JUL-15","Pinniped"
"NW-2001-1026996",NA,"UNKNOWN OTARIID",NA,"Ocean City","Grays Harbor","WA",NA,NA,NA,NA,NA,2001,"2001-JUL-16","Pinniped"
"NW-2001-1026961",NA,"UNKNOWN OTARIID",NA,"Tacoma","Pierce","WA","next to Steamers Restaurant",NA,NA,NA,NA,2001,"2001-JUN-14","Pinniped"
"NW-2001-1024022",NA,"UNKNOWN OTARIID",NA,"Whidbey Island","Island","WA","just off dock; Langley",NA,NA,NA,NA,2001,"2001-MAR-09","Pinniped"
"NW-2001-1023920",NA,"UNKNOWN OTARIID",NA,"Bainbridge Island","Kitsap","WA","near fish pen",NA,NA,NA,NA,2001,"2001-MAR-12","Pinniped"
"NW-2001-1023265",NA,"UNKNOWN OTARIID",NA,"Grayland","Grays Harbor","WA","on beach by Grayland approach",NA,NA,NA,NA,2001,"2001-MAR-25","Pinniped"
"NW-2001-1024491",NA,"UNKNOWN OTARIID",NA,"Vashon Island","King","WA","24503 143rd Ave SW",NA,NA,NA,NA,2001,"2001-MAR-31","Pinniped"
"NW-2001-1026294",NA,"UNKNOWN OTARIID",NA,"Normandy Park","King","WA","20631 10th Pl SW",NA,NA,NA,NA,2001,"2001-MAY-20","Pinniped"
"NW-2001-1026325",NA,"UNKNOWN OTARIID",NA,"Seattle","King","WA","Lincoln Park",NA,NA,NA,NA,2001,"2001-MAY-22","Pinniped"
"NW-2001-1027256",NA,"UNKNOWN OTARIID",NA,"Newport","Lincoln","OR","3 mi. S of town",NA,NA,NA,NA,2001,"2001-SEP-04","Pinniped"
"NW-2002-1027181",NA,"UNKNOWN OTARIID",NA,"Seattle","King","WA","S end of Westpoint Lighthouse; Discovery Park",NA,NA,NA,NA,2002,"2002-FEB-21","Pinniped"
"NW-2002-1027182",NA,"UNKNOWN OTARIID",NA,"Kingston","Kitsap","WA","~30' offshore floating in water; Port Gamble Bay",NA,NA,NA,NA,2002,"2002-FEB-22","Pinniped"
"NW-2002-1027208",NA,"UNKNOWN OTARIID",NA,"Olympic NP","Clallam","WA","Ozette- just S of Sand Point",NA,NA,NA,NA,2002,"2002-JUN-17","Pinniped"
"NW-2002-1027203",NA,"UNKNOWN OTARIID",NA,"Ilwaco","Pacific","WA","USCG Cape Disappointment Small Boat Station",NA,NA,NA,NA,2002,"2002-MAY-14","Pinniped"
"NW-1989-1026317",NA,"UNKNOWN PHOCID",NA,"Bainbridge Island","Kitsap","WA","on beach",NA,NA,NA,NA,1989,"1989-APR-01","Pinniped"
"NW-1989-1026644",NA,"UNKNOWN PHOCID",NA,"Seattle","King","WA","Alki Beach",NA,NA,NA,NA,1989,"1989-APR-01","Pinniped"
"NW-1989-1026635",NA,"UNKNOWN PHOCID",NA,"Hansville","Kitsap","WA","38601 Hood Canal Dr. NE",NA,NA,NA,NA,1989,"1989-APR-17","Pinniped"
"NW-1989-1026629",NA,"UNKNOWN PHOCID",NA,"Salishan Spit","Lincoln","OR",NA,NA,NA,NA,NA,1989,"1989-APR-19","Pinniped"
"NW-1989-1026637",NA,"UNKNOWN PHOCID",NA,"Waldport","Lincoln","OR","Patterson Park",NA,NA,NA,NA,1989,"1989-APR-24","Pinniped"
"NW-1989-1026803",NA,"UNKNOWN PHOCID",NA,"Newport","Lincoln","OR",NA,NA,NA,NA,NA,1989,"1989-AUG-03","Pinniped"
"NW-1989-1026805",NA,"UNKNOWN PHOCID",NA,"Newport","Lincoln","OR",".5 mile S of Best Western Motel",NA,NA,NA,NA,1989,"1989-AUG-05","Pinniped"
"NW-1989-1026808",NA,"UNKNOWN PHOCID",NA,"Beverly Beach","Lincoln","OR",".5 mile S of beach",NA,NA,NA,NA,1989,"1989-AUG-06","Pinniped"
"NW-1989-1026810",NA,"UNKNOWN PHOCID",NA,"Newport","Lincoln","OR","Shilo Inn",NA,NA,NA,NA,1989,"1989-AUG-07","Pinniped"
"NW-1989-1026812",NA,"UNKNOWN PHOCID",NA,"Seal Rock","Lincoln","OR",".5 mile N of Sandpiper Village",NA,NA,NA,NA,1989,"1989-AUG-08","Pinniped"
"NW-1989-1026813",NA,"UNKNOWN PHOCID",NA,"Big Whale Cove","Lincoln","OR","N shore",NA,NA,NA,NA,1989,"1989-AUG-11","Pinniped"
"NW-1989-1026815",NA,"UNKNOWN PHOCID",NA,"Sucia Island","San Juan","WA","Echo Bay",NA,NA,NA,NA,1989,"1989-AUG-18","Pinniped"
"NW-1989-1026816",NA,"UNKNOWN PHOCID",NA,"Bainbridge Island","Kitsap","WA","Pt. Monroe",NA,NA,NA,NA,1989,"1989-AUG-19","Pinniped"
"NW-1989-1026817",NA,"UNKNOWN PHOCID",NA,"Anacortes","Skagit","WA","Fidalgo Boat Launch",NA,NA,NA,NA,1989,"1989-AUG-19","Pinniped"
"NW-1989-1026820",NA,"UNKNOWN PHOCID",NA,"Union","Mason","WA","near Twanoh",NA,NA,NA,NA,1989,"1989-AUG-21","Pinniped"
"NW-1989-1026821",NA,"UNKNOWN PHOCID",NA,"Whidbey Island","Island","WA","Coupeville boat launch; Coupeville",NA,NA,NA,NA,1989,"1989-AUG-22","Pinniped"
"NW-1989-1026824",NA,"UNKNOWN PHOCID",NA,"Cape George","Jefferson","WA",NA,NA,NA,NA,NA,1989,"1989-AUG-26","Pinniped"
"NW-1989-1026830",NA,"UNKNOWN PHOCID",NA,"Whidbey Island","Island","WA","beach",NA,NA,NA,NA,1989,"1989-AUG-27","Pinniped"
"NW-1989-1026836",NA,"UNKNOWN PHOCID",NA,"Bellingham","Whatcom","WA","S Boulevard Park",NA,NA,NA,NA,1989,"1989-AUG-27","Pinniped"
"NW-1989-1026831",NA,"UNKNOWN PHOCID",NA,"Brinnon","Jefferson","WA","Seal Rock campground",NA,NA,NA,NA,1989,"1989-AUG-28","Pinniped"
"NW-1989-1026828",NA,"UNKNOWN PHOCID",NA,"Seattle","King","WA","Beach Dr. So.; Alki",NA,NA,NA,NA,1989,"1989-AUG-29","Pinniped"
"NW-1989-1026841",NA,"UNKNOWN PHOCID",NA,"Anacortes","Skagit","WA","Smith; 1000 Trails Park; Hope Island",NA,NA,NA,NA,1989,"1989-AUG-30","Pinniped"
"NW-1989-1026835",NA,"UNKNOWN PHOCID",NA,"Bellingham","Whatcom","WA","Birch Bay","48.56",NA,"122.43",NA,1989,"1989-AUG-30","Pinniped"
"NW-1989-1026834",NA,"UNKNOWN PHOCID",NA,"Port Townsend","Jefferson","WA","floating offshore .5 mile N of USCG lighthouse point",NA,NA,NA,NA,1989,"1989-AUG-30","Pinniped"
"NW-1989-1026838",NA,"UNKNOWN PHOCID",NA,"Anacortes","Skagit","WA","Dorner St.; Dewey Beach",NA,NA,NA,NA,1989,"1989-AUG-30","Pinniped"
"NW-1989-1026839",NA,"UNKNOWN PHOCID",NA,NA,"Skagit","WA",NA,NA,NA,NA,NA,1989,"1989-AUG-30","Pinniped"
"NW-1989-1026938",NA,"UNKNOWN PHOCID",NA,"Cutler City","Lincoln","OR",NA,NA,NA,NA,NA,1989,"1989-DEC-01","Pinniped"
"NW-1989-1026942",NA,"UNKNOWN PHOCID",NA,"Ona Beach SP","Lincoln","OR",NA,NA,NA,NA,NA,1989,"1989-DEC-19","Pinniped"
"NW-1989-1026581",NA,"UNKNOWN PHOCID",NA,"Fox Island","Pierce","WA","naval acoustic range",NA,NA,NA,NA,1989,"1989-FEB-07","Pinniped"
"NW-1989-1026583",NA,"UNKNOWN PHOCID",NA,"Tacoma","Pierce","WA",NA,NA,NA,NA,NA,1989,"1989-FEB-08","Pinniped"
"NW-1989-1026587",NA,"UNKNOWN PHOCID",NA,"Steilacoom","Pierce","WA","water sewage treatment plant",NA,NA,NA,NA,1989,"1989-FEB-18","Pinniped"
"NW-1989-1026593",NA,"UNKNOWN PHOCID",NA,"Anderson Hill","Kitsap","WA","Hood Canal",NA,NA,NA,NA,1989,"1989-FEB-27","Pinniped"
"NW-1989-1026594",NA,"UNKNOWN PHOCID",NA,"Whidbey Island","Island","WA","Useless Bay",NA,NA,NA,NA,1989,"1989-FEB-28","Pinniped"
"NW-1989-1026556",NA,"UNKNOWN PHOCID",NA,NA,"Grays Harbor","WA","between Ocean Shores & Ocean City",NA,NA,NA,NA,1989,"1989-JAN-01","Pinniped"
"NW-1989-1026566",NA,"UNKNOWN PHOCID",NA,"Henderson Inlet","Thurston","WA",NA,NA,NA,NA,NA,1989,"1989-JAN-09","Pinniped"
"NW-1989-1026567",NA,"UNKNOWN PHOCID",NA,"Seattle","King","WA","Don Armeany Park",NA,NA,NA,NA,1989,"1989-JAN-10","Pinniped"
"NW-1989-1026573",NA,"UNKNOWN PHOCID",NA,"Camano Island","Island","WA","Tillicum Beach",NA,NA,NA,NA,1989,"1989-JAN-17","Pinniped"
"NW-1989-1026579",NA,"UNKNOWN PHOCID",NA,"Newport","Lincoln","OR","S of Agate Beach Wayside",NA,NA,NA,NA,1989,"1989-JAN-30","Pinniped"
"NW-1989-1026717",NA,"UNKNOWN PHOCID",NA,"Stuart Island","San Juan","WA","Sunset Beach",NA,NA,NA,NA,1989,"1989-JUL-03","Pinniped"
"NW-1989-1026718",NA,"UNKNOWN PHOCID",NA,"Bellingham","Whatcom","WA",NA,NA,NA,NA,NA,1989,"1989-JUL-03","Pinniped"
"NW-1989-1026725",NA,"UNKNOWN PHOCID",NA,"Newport","Lincoln","OR","below Starfish Point; Agate Beach",NA,NA,NA,NA,1989,"1989-JUL-04","Pinniped"
"NW-1989-1026721",NA,"UNKNOWN PHOCID",NA,"Seattle","King","WA","Lake Washington",NA,NA,NA,NA,1989,"1989-JUL-04","Pinniped"
"NW-1989-1026722",NA,"UNKNOWN PHOCID",NA,"Port Orchard","Kitsap","WA",NA,NA,NA,NA,NA,1989,"1989-JUL-05","Pinniped"
"NW-1989-1026728",NA,"UNKNOWN PHOCID",NA,"Sucia Island","San Juan","WA","Echo Bay",NA,NA,NA,NA,1989,"1989-JUL-06","Pinniped"
"NW-1989-1026727",NA,"UNKNOWN PHOCID",NA,"Pacific City","Tillamook","OR","Cape Kiawanda",NA,NA,NA,NA,1989,"1989-JUL-06","Pinniped"
