"Field.Number","National.Database.Number","Affiliation","Common.Name","Observation.Date","State","County","City...from.strandings.table","Locality.Detail","Latitude","mean_lat","Lat_error","Longitude","mean_long","Long_error"
"NONE-ASSIGNED","SW-2007-1087823","Private Citizen (SW)","Sea lion, California","2007-DEC-30","CA","Los Angeles",NA,"HORSESHOE KELP",33.4,33.9463884433333,0.546388443333335,-118.12,-118.555894658204,-0.435894658203907
"NONE-ASSIGNED","SW-2007-1087829","Private Citizen (SW)","Sea lion, California","2007-DEC-30","CA","Los Angeles",NA,"HORSESHOE KELP",33.4,33.9463884433333,0.546388443333335,-118.12,-118.555894658204,-0.435894658203907
"SWC-ZC-10-178B","SW-2010-1126670","SeaWorld of California","Sea lion, California","2010-DEC-23","CA","San Diego","ENCINITAS","PONTO BEACH AT CARLSBAD BOULEVARD",33.40041,32.8061558059814,-0.594254194018617,-117.183824,-117.233907868453,-0.0500838684533278
"SWC-ZC-16-140B","SW-2016-1182605","SeaWorld of California","Sea lion, California","2016-FEB-24","CA","San Diego","ENCINITAS","IN BETWEEN SOUTH PONTO BEACH AND LEUCADIA STATE BEACH. ANIMAL FOUND ON PRIVATE STAIRCASE NEAR NEPTUNE AVENUE AND GRANDVIEW AVENUE CLOSE TO 1660 NEPTUNE AVENUE, ENCINITAS, 92024",33.4032,32.8061558059814,-0.597044194018615,-117.1834,-117.233907868453,-0.0505078684533231
"SWC-ZC-13-270B","SW-2013-1151627","SeaWorld of California","Sea lion, California","2013-APR-02","CA","San Diego","CORONADO","SOUTH BEACH. AVENIDA DEL SOL AND HIGHWAY 75. IN CUSTODY OF CORONADO ANIMAL CONTROL AND BROUGHT TO SEAWORLD.",33.4037,32.8061558059814,-0.597544194018617,-117.504,-117.233907868453,0.270092131546676
"PMMC-Z-10-06-10-126","SW-2010-1126179","Pacific Marine Mammal Center","Sea lion, California","2010-JUN-10","CA","San Diego","SAN ONOFRE","SAN ONOFRE STATE BEACH",33.4062,32.8061558059814,-0.600044194018615,-117.6272,-117.233907868453,0.393292131546673
"NONE-ASSIGNED","SW-2009-1091967","USCG","Pinniped, unidentified","2009-JAN-21","CA","Los Angeles","SAN PEDRO","OFFSHORE, SOUTH OF LA HARBOR LIGHT STATION",33.41,33.9463884433333,0.536388443333337,-115.5,-118.555894658204,-3.05589465820391
"NONE-ASSIGNED","SW-2009-1091969","USCG","Pinniped, unidentified","2009-JAN-21","CA","Los Angeles","SAN PEDRO","OFFSHORE, SOUTH OF L.A. HARBOR LIGHT STATION",33.41,33.9463884433333,0.536388443333337,-115.15,-118.555894658204,-3.40589465820391
"SWC-ZC-15-328B","SW-2015-1172598","SeaWorld of California","Sea lion, California","2015-FEB-26","CA","San Diego","ENCINITAS","SWAIMIS STATE BEACH. SOUTH COAST HIGHWAY",33.41,32.8061558059814,-0.603844194018613,-117.292,-117.233907868453,0.0580921315466725
"PMMC-Z-06-12-16-077","SW-2006-1063337","Pacific Marine Mammal Center","Sea lion, California","2006-DEC-16","CA","Orange","HUNTINGTON BEACH","STATE BEACH, TOWER 11",33.4139,33.4288729554098,0.0149729554098386,-1180249,-117.695306882181,1180131.30469312
"BLANK","SW-2010-1138317","PENNINGTON MARINE SCIENCE CENTER","Pinniped, unidentified","2010-AUG-04","CA","Los Angeles","Avalon","Doctors Cove",33.420146,33.9463884433333,0.526242443333331,-118.53145,-118.555894658204,-0.0244446582039046
"LACM-DSJ-2219","SW-2007-1075797","Los Angeles County Museum of Natural History","Dolphin, common, long-beaked","2007-APR-23","CA","Los Angeles","SAN PEDRO","CABRILLO BEACH, WEST SIDE OF OUTER BEACH",33.4228,33.9463884433333,0.523588443333331,-118.1704,-118.555894658204,-0.38549465820391
"LACM-DSJ-2270","SW-2010-1123471","Los Angeles County Museum of Natural History","Dolphin, Risso's","2010-JAN-22","CA","Los Angeles","SAN PEDRO","CABRILLO BEACH, INNER BEACH",33.4232,33.9463884433333,0.523188443333332,-118.1641,-118.555894658204,-0.391794658203906
"TMMC-CSL-7621","SW-2008-1190589","The Marine Mammal Center","Sea lion, California","2008-APR-13","CA","Eez",NA,"west of Channel Islands",33.43033,35.6640175,2.2336875,-120.1765,-120.914475,-0.737974999999992
"LACM-DSJ-2277","SW-2010-1123694","Los Angeles County Museum of Natural History","Dolphin, Pacific white-sided","2010-MAR-02","CA","Los Angeles","SAN PEDRO","ROYAL PALMS COUNTY BEACH",33.4304,33.9463884433333,0.515988443333335,-118.1916,-118.555894658204,-0.364294658203917
"TMMC-CSL-9237","SW-2009-1121545","The Marine Mammal Center","Sea lion, California","2009-OCT-15","CA","San Luis Obispo","CAYUCOS","MORRO STRAND STATE BEACH - NORTH AT 24TH STREET",33.431,35.3012965156931,1.87029651569315,-120.893,-120.844880020444,0.0481199795560769
"NONE-ASSIGNED","SW-2010-1123413","ANCON MARINE","Pinniped, unidentified","2010-JAN-10","CA","Los Angeles","SAN PEDRO","LOS ANGELES HARBOR",33.4319,33.9463884433333,0.514488443333335,-118.1616,-118.555894658204,-0.394294658203904
"SWC-MA-16-07B","SW-2016-1183938","Sea World of California","Seal, northern elephant","2016-APR-09","CA","San Diego","ENCINITAS","ENCINITAS. 100 YARDS SOUTH OF THE BOTTOM OF THE STAIRS IN FRONT OF 1692 NEPTUNE AVE, ON THE BEACH. CROSS STREETS ARE GRANDVIEW AVE AND NEPTUNE AVE.",33.433,32.8061558059814,-0.626844194018616,-117.1836,-117.233907868453,-0.0503078684533307
"NONE-ASSIGNED","SW-2009-1123170","ANCON MARINE","Sea lion, California","2009-NOV-20","CA","Los Angeles","SAN PEDRO","LOS ANGELES HARBOR",33.433492,33.9463884433333,0.512896443333332,-118.161013,-118.555894658204,-0.394881658203914
"SWC-ZC-15-796B","SW-2015-1175346","SeaWorld of California","Sea lion, California","2015-AUG-15","CA","San Diego","LEUCADIA","300 YARDS SOUTH OF GRANDVIEW LIFEGUARD TOWER. NEPTUNE AVENUE AND GRANDVIEW STREET.",33.435,32.8061558059814,-0.628844194018619,-117.1837,-117.233907868453,-0.0502078684533274
"NONE-ASSIGNED","SW-2008-1088955","Private Citizen (SW)","Sea lion, California","2008-FEB-25","CA","Los Angeles",NA,"BILLS BAIT BARGE, 1/10 MILE NORTHWEST OF EAST GATE",33.4351,33.9463884433333,0.511288443333335,-118.08039,-118.555894658204,-0.475504658203917
"NONE-ASSIGNED","SW-2009-1123161",NA,"Sea lion, California","2009-NOV-19","CA","Los Angeles","SAN PEDRO","LOS ANGELES HARBOR",33.435326,33.9463884433333,0.51106244333333,-118.155184,-118.555894658204,-0.400710658203906
"SWC-ZC-15-491B","SW-2015-1173919","SeaWorld of California","Sea lion, California","2015-MAR-17","CA","San Diego","ENCINITAS","400 B STREET. SEAWORLD TEAM PICKED UP ANIMAL IN CUSTODY AT THE MOONLIGHT BEACH LIFEGUARD STATION.",33.435449,32.8061558059814,-0.629293194018615,-117.1834439,-117.233907868453,-0.0504639684533288
"PMMC-Z-06-05-03-058-R1","SW-2006-1059251","Pacific Marine Mammal Center","Sea lion, California","2006-JUN-14","CA","Orange","SEAL BEACH","BY NORTH JETTY",33.44,33.4288729554098,-0.011127044590161,-118.7,-117.695306882181,1.00469311781896
"NONE-ASSIGNED","SW-2010-1123412","ANCON MARINE","Sea lion, California","2010-JAN-10","CA","Los Angeles","SAN PEDRO","LOS ANGELES HARBOR",33.4402,33.9463884433333,0.506188443333336,-118.1548,-118.555894658204,-0.401094658203917
"LACM-DSJ-2251","SW-2008-1095997","Los Angeles County Museum of Natural History","Whale, fin","2008-OCT-19","CA","Los Angeles","LONG BEACH","LONG BEACH HARBOR",33.4427,33.9463884433333,0.503688443333331,-118.1207,-118.555894658204,-0.435194658203912
"LACM-DSJ-2273","SW-2010-1123534","Los Angeles County Museum of Natural History","Whale, gray","2010-FEB-04","CA","Los Angeles","SAN PEDRO","LOS ANGELES HARBOR, NAVAL MOLE, NIMITZ ROAD",33.4428,33.9463884433333,0.503588443333335,-118.1345,-118.555894658204,-0.421394658203909
"LACM-DSJ-2231","SW-2007-1086845","Los Angeles County Museum of Natural History","Whale, blue","2007-SEP-08","CA","Los Angeles","LONG BEACH","LONG BEACH HARBOR, WEST BASIN",33.445,33.9463884433333,0.501388443333333,-118.1315,-118.555894658204,-0.424394658203909
"SWC-ZC-15-754B","SW-2015-1173733","SeaWorld of California","Sea lion, California","2015-MAY-17","CA","San Diego","CARLSBAD","GRANDVIEW STREET AND NEPTUNE AVENUE. SOUTH PONTO BEACH.",33.446,32.8061558059814,-0.639844194018615,-117.184,-117.233907868453,-0.0499078684533316
"TMMC-ES-3311","SW-2012-1186181","The Marine Mammal Center","Seal, northern elephant","2012-APR-02","CA","San Luis Obispo","Cambria","Estero Bluffs",33.449,35.3012965156931,1.85229651569315,-120.959,-120.844880020444,0.114119979556079
"SWC-ZC-10-82B","SW-2010-1121403","SeaWorld of California","Sea lion, California","2010-APR-24","CA","San Diego","OCEAN BEACH","OCEAN BEACH AT NARRAGANSETT AND ABBOT STREETS",33.45,32.8061558059814,-0.643844194018619,-117.15176,-117.233907868453,-0.0821478684533332
"PMMC-M-13-03-19-006","SW-2013-1151063","Pacific Marine Mammal Center","Seal, northern elephant","2013-MAR-19","CA","Orange","SEAL BEACH",NA,33.45253,33.4288729554098,-0.0236570445901663,-118.75262,-117.695306882181,1.05731311781895
"SWC-ZC-16-87B","SW-2016-1182048","SeaWorld of California","Sea lion, California","2016-FEB-14","CA","San Diego","ENCINITAS","MOONLIGHT BEACH. IN CUSTODY WITH MOONLIGHT BEACH LIFEGUARDS",33.4591,32.8061558059814,-0.652944194018616,-117.18595,-117.233907868453,-0.0479578684533237
"SWC-ZC-07-118B","SW-2007-1067605","SeaWorld of California","Sea lion, California","2007-MAY-17","CA","San Diego","OCEANSIDE","NORTH OF OCEANSIDE PIER",33.45944,32.8061558059814,-0.653284194018617,-117.13787,-117.233907868453,-0.0960378684533225
"SWC-ZC-15-727B","SW-2015-1173186","SeaWorld of California","Sea lion, California","2015-MAY-05","CA","San Diego","CARLSBAD","SOUTH PONTO BEACH. LA COSTA AVENUE AND NORTH COAST HIGHWAY 101. 20 YARDS SOUTH OF TOWER 20.",33.46,32.8061558059814,-0.653844194018617,-117.1843,-117.233907868453,-0.0496078684533359
"SWC-MA-07-114B","SW-2007-1067457","SeaWorld of California","Seal, northern elephant","2007-MAY-13","CA","San Diego","SAN DIEGO","MISSION BEACH, SANTA BARBARA PLACE",33.46433,32.8061558059814,-0.658174194018613,-117.15217,-117.233907868453,-0.081737868453331
"SWC-ZC-06-64B","SW-2006-1058877","SeaWorld of California","Sea lion, California","2006-APR-18","CA","San Diego","SAN DIEGO","FIESTA ISLAND",33.46599,32.8061558059814,-0.659834194018615,-117.1356,-117.233907868453,-0.0983078684533325
"SWC-MA-07-109B","SW-2007-1067445","SeaWorld of California","Sea lion, California","2007-MAY-10","CA","San Diego","LA JOLLA","CHILDRENS POOL",33.50852,32.8061558059814,-0.702364194018614,-117.16696,-117.233907868453,-0.066947868453326
"SWC-MA-06-52B","SW-2006-1058853","SeaWorld of California","Seal, northern elephant","2006-APR-15","CA","San Diego","LA JOLLA","CHILDRENS POOL",33.5086,32.8061558059814,-0.702444194018618,-117.167,-117.233907868453,-0.0669078684533275
"SWC-ZC-08-112B","SW-2008-1080991","SeaWorld of California","Sea lion, California","2008-AUG-09","CA","San Diego","LA JOLLA","CHILDRENS POOL/CASA BEACH CORNER OF COAST BOULEVARD AND PROSPECT STREET",33.5086,32.8061558059814,-0.702444194018618,-117.167,-117.233907868453,-0.0669078684533275
"SWC-PV-08-110B","SW-2008-1080245","SeaWorld of California","Seal, harbor","2008-JUL-27","CA","San Diego","LA JOLLA","CHILDRENS POOL BEACH ALONG COAST BOULEVARD",33.5086,32.8061558059814,-0.702444194018618,-117.167,-117.233907868453,-0.0669078684533275
"SWC-PV-08-23B","SW-2008-1074339","SeaWorld of California","Seal, harbor","2008-MAR-03","CA","San Diego","LA JOLLA","CHILDRENS POOL",33.5086,32.8061558059814,-0.702444194018618,-117.167,-117.233907868453,-0.0669078684533275
"SWC-PV-08-24B","SW-2008-1074341","SeaWorld of California","Seal, harbor","2008-MAR-03","CA","San Diego","LA JOLLA","CHILDRENS POOL",33.5086,32.8061558059814,-0.702444194018618,-117.167,-117.233907868453,-0.0669078684533275
"SWC-PV-09-35B","SW-2009-1088633","SeaWorld of California","Seal, harbor","2009-MAR-01","CA","San Diego","LA JOLLA","SOUTH CASA BEACH ALONG COAST BOULEVARD",33.5086,32.8061558059814,-0.702444194018618,-117.167,-117.233907868453,-0.0669078684533275
"SWC-MA-09-39B","SW-2009-1088643","SeaWorld of California","Seal, northern elephant","2009-MAR-16","CA","San Diego","LA JOLLA","CHILDRENS POOL BEACH AT COAST BOULEVARD AND PROSPECT STREET",33.5086,32.8061558059814,-0.702444194018618,-117.167,-117.233907868453,-0.0669078684533275
"SWC-PV-09-40B","SW-2009-1088645","SeaWorld of California","Seal, harbor","2009-MAR-16","CA","San Diego","LA JOLLA","CHILDRENS POOL AT COAST BOULEVARD AND PROSPECT STREET",33.5086,32.8061558059814,-0.702444194018618,-117.167,-117.233907868453,-0.0669078684533275
"SWC-ZC-08-139B","SW-2008-1084539","SeaWorld of California","Sea lion, California","2008-DEC-15","CA","San Diego","LA JOLLA","CHILDRENS POOL BEACH AT COAST BOULEVARD AND PROSPECT STREET",33.5086,32.8061558059814,-0.702444194018618,-117.167,-117.233907868453,-0.0669078684533275
"SWC-SW080856","SW-2008-1083961","SeaWorld of California","Seal, harbor","2008-NOV-21","CA","San Diego","La Jolla","ABORTED FETUS FOUND AT CHILDRENS POOL; PICKED UP BY KELLY GOODWIN FROM SOUTHWEST FISHERIES SCIENCE CENTER AND BROUGHT TO SEA WORLD",33.5086,32.8061558059814,-0.702444194018618,-117.167,-117.233907868453,-0.0669078684533275
"SWC-PV-09-36B","SW-2009-1088635","SeaWorld of California","Seal, harbor","2009-MAR-03","CA","San Diego","LA JOLLA","SOUTH CASA BEACH (CHILDRENS POOL BEACH)",33.5086,32.8061558059814,-0.702444194018618,-117.167,-117.233907868453,-0.0669078684533275
"SWC-PV-09-20B","SW-2009-1086749","SeaWorld of California","Seal, harbor","2009-FEB-02","CA","San Diego","LA JOLLA","CHILDRENS POOL; CASA BEACH AT COAST BLVD AND PROSPECT STREET",33.5089,32.8061558059814,-0.702744194018614,-117.167,-117.233907868453,-0.0669078684533275
"SWC-ZC-15-576B","SW-2015-1173546","SeaWorld of California","Sea lion, California","2015-MAR-29","CA","San Diego","CARLSBAD","LA COSTA AVENUE AND CARLSBAD BOULEVARD.",33.512,32.8061558059814,-0.705844194018617,-117.1845,-117.233907868453,-0.0494078684533292
"SWC-ZC-14-34B","SW-2014-1157118","SeaWorld of California","Sea lion, California","2014-MAR-21","CA","San Diego","CARLSBAD","PONTO BEACH ON SOUTH JETTY NORTH OF LIFEGUARD TOWER 21. NEAREST CROSS STREETS ARE LA COSTA AVENUE AND HIGHWAY 101",33.513,32.8061558059814,-0.706844194018615,-117.1847,-117.233907868453,-0.0492078684533226
"SWC-ZC-14-27B","SW-2014-1156019","SeaWorld of California","Sea lion, California","2014-MAR-15","CA","San Diego","CARLSBAD","PONTO BEACH ON SOUTH JETTY NEAR LIFEGUARD TOWER 21 AT THE CROSS STREETS OF LA COSTA AVENUE AND HIGHWAY 101",33.513,32.8061558059814,-0.706844194018615,-117.1848,-117.233907868453,-0.0491078684533335
"SWC-ZC-15-47B","SW-2015-1171126","SeaWorld of California","Sea lion, California","2015-JAN-25","CA","San Diego","CARLSBAD","IN THE ROCKS ON THE SOUTH JETTY AT PONTO STATE BEACH. 7201 CARLSBAD BOULEVARD.",33.513,32.8061558059814,-0.706844194018615,-117.1848,-117.233907868453,-0.0491078684533335
"SWC-ZC-15-657B","SW-2015-1173443","SeaWorld of California","Sea lion, California","2015-APR-12","CA","San Diego","CARLSBAD","NORTH PONTO/LA COSTA CANYON AT AVENIDA ENCINAS AND CARLSBAD AVENUE",33.515,32.8061558059814,-0.708844194018617,-117.1847,-117.233907868453,-0.0492078684533226
"SWC-ZC-15-177B","SW-2015-1171835","SeaWorld of California","Sea lion, California","2015-FEB-13","CA","San Diego","CARLSBAD","SOUTH PONTO BEACH. RIP RAP, SOUTH OF LIFEGAURD STATION 22. LA COSTA AND PACIFIC COAST HIGHWAY",33.515,32.8061558059814,-0.708844194018617,-117.1847,-117.233907868453,-0.0492078684533226
"SWC-ZC-15-261B","SW-2015-1172465","SeaWorld of California","Sea lion, California","2015-FEB-20","CA","San Diego","CARLSBAD","SOUTH PONTO STATE BEACH TOWER 24/ON JETTY - CARLSBAD BOULEVARD/LA COSTA AVENUE",33.515,32.8061558059814,-0.708844194018617,-117.1847,-117.233907868453,-0.0492078684533226
"SWC-ZC-15-654B","SW-2015-1173434","SeaWorld of California","Sea lion, California","2015-APR-12","CA","San Diego","CARLSBAD","NORTH PONTO/LA COSTA CANYON. LIFEGUARD TOWER 22, NORTH JETTY ROCKS. AVENIDA ENCINAS AND CARLSBAD BOULEVARD.",33.515,32.8061558059814,-0.708844194018617,-117.1847,-117.233907868453,-0.0492078684533226
"SWC-ZC-16-288B","SW-2016-1183778","SeaWorld of California","Sea lion, California","2016-APR-03","CA","San Diego","CARLSBAD","CARLSBAD STATE BEACH AT NORTH CARLSBAD BOULEVARD. WHERE THE PARKING LOT AND SAND CONNECT",33.521,32.8061558059814,-0.714844194018617,-117.1846,-117.233907868453,-0.0493078684533259
"SWC-ZC-15-792B","SW-2015-1174039","SeaWorld of California","Sea lion, California","2015-JUL-11","CA","San Diego","CARLSBAD","AVENIDA ENCINAS AND CARLSBAD BOULEVARD NEAR TOWER 23",33.525,32.8061558059814,-0.718844194018615,-117.1853,-117.233907868453,-0.0486078684533311
"SWC-ZC-15-674B","SW-2015-1173155","SeaWorld of California","Sea lion, California","2015-APR-15","CA","San Diego","CARLSBAD","PONTO BEACH. HALFWAY BETWEEN LIFEGUARD TOWERS 22 AND 23. ANVINIDA ENCINAS AND COAST HIGHWAY.",33.5269,32.8061558059814,-0.720744194018614,-117.1854,-117.233907868453,-0.0485078684533278
"SWC-ZC-13-322B","SW-2013-1151638","SeaWorld of California","Sea lion, California","2013-APR-19","CA","San Diego","CARLSBAD","lIFEGUARD TOWER 22 AT SOUTH CARLSBAD STATE BEACH. POINSETTIA LANE AND CARLSBAD BLVD.",33.527,32.8061558059814,-0.720844194018618,-117.1818,-117.233907868453,-0.0521078684533336
"SWC-ZC-14-71B","SW-2014-1157666","SeaWorld of California","Sea lion, California","2014-APR-06","CA","San Diego","CARLSBAD","CARLSBAD STATE BEACH ACROSS FROM 7399 CARLSBAD BOULEVARD",33.534,32.8061558059814,-0.727844194018616,-117.1856,-117.233907868453,-0.0483078684533353
"SWC-ZC-15-73B","SW-2015-1171512","SeaWorld of California","Sea lion, California","2015-JAN-30","CA","San Diego","CARLSBAD","CARLSBAD STATE BEACH. 7201 CARLSBAD BOULEVARD. PICKED UP A 1/2 MILE NORTH OF TOWER 22",33.545,32.8061558059814,-0.738844194018618,-117.191,-117.233907868453,-0.0429078684533266
"SWC-ZC-15-570B","SW-2015-1174072","SeaWorld of California","Sea lion, California","2015-MAR-28","CA","San Diego","SAN DIEGO (LA JOLLA)","BLACKS BEACH. 200 YARDS SOUTH OF FLAT ROCK. NEAREST CROSS STREETS ARE NORTH TORREY PINES ROAD AND CALLAN ROAD.",33.5452,32.8061558059814,-0.739044194018618,-117.1531,-117.233907868453,-0.0808078684533342
"SWC-ZC-15-739B","SW-2015-1173704","SeaWorld of California","Sea lion, California","2015-MAY-10","CA","San Diego","CARLSBAD","CARLSBAD BOULEVARD AND PONTO ROAD. PONTO BEACH NEAR TOWER 23.",33.546,32.8061558059814,-0.739844194018616,-117.1911,-117.233907868453,-0.0428078684533233
"NONE-ASSIGNED","SW-2009-1100773","CHEVRON","Pinniped, unidentified","2009-JUL-08","CA","Los Angeles","EL SEGUNDO","50 YARDS NORTH OF JETTY",33.54674,33.9463884433333,0.399648443333334,-18.25662,-118.555894658204,-100.299274658204
"SWC-ZC-14-69B","SW-2014-1157664","SeaWorld of California","Sea lion, California","2014-APR-05","CA","San Diego","CARLSBAD","TIERRA BEACH ACROSS FROM 5039 TIERRA DEL ORO",33.547,32.8061558059814,-0.740844194018614,-117.2012,-117.233907868453,-0.0327078684533291
"SWC-ZC-15-789B","SW-2015-1173754","SeaWorld of California","Sea lion, California","2015-JUN-22","CA","San Diego","ENCINITAS","B STREET AND THIRD STREET. SEAWORLD TEAM PICKED UP ANIMAL IN CUSTODY AT MOONLIGHT BEACH LIFEGUARDS.",33.552,32.8061558059814,-0.745844194018616,-117.1749,-117.233907868453,-0.0590078684533353
"SWC-ZC-15-115B","SW-2015-1171545","SeaWorld of California","Sea lion, California","2015-FEB-06","CA","San Diego","CARLSBAD","LA COSTA AVE AND NORTH COAST HIGH WAY",33.558,32.8061558059814,-0.751844194018616,-117.197,-117.233907868453,-0.0369078684533264
"SWC-ZC-09-152B","SW-2009-1099055","SeaWorld of California","Sea lion, California","2009-SEP-24","CA","San Diego","CARLSBAD","END OF NORTH SIDE OF THE WARM WATER JETTY AT 3228 CAMINO DEL MAR, NEAREST CROSS STREET IS CANON ROAD",33.58611,32.8061558059814,-0.779954194018615,-117.16279,-117.233907868453,-0.071117868453328
"SWFSC-KXD-0122","SW-2007-1067179","Southwest Fisheries Science Center","Dolphin, common, long-beaked","2007-MAY-30","CA","San Diego","CARLSBAD","SOUTH CARLSBAD STATE BEACH",33.6,32.8061558059814,-0.793844194018618,NA,-117.233907868453,NA
"SWFSC-KXD0107","SW-2006-1057267","Southwest Fisheries Science Center","Sea lion, California","2006-MAY-14","CA","San Diego","CARLSBAD","CARLSBAD STATE BEACH",33.6,32.8061558059814,-0.793844194018618,NA,-117.233907868453,NA
"SWC-ZC-14-54B","SW-2014-1157528","SeaWorld of California","Sea lion, California","2014-MAR-31","CA","San Diego","CARLSBAD","CARLSBAD STATE BEACH IN FRONT OF LIFEGUARD TOWER 25 NEAR BREAKWATER ROAD",33.63,32.8061558059814,-0.823844194018619,-117.199,-117.233907868453,-0.034907868453331
"PMMC-Z-14-11-12-204","SW-2014-1170856","Pacific Marine Mammal Center","Sea lion, California","2014-NOV-12","CA","Orange","HUNTINGTON BEACH","HUNTINGTON WETLANDS",33.634176,33.4288729554098,-0.20530304459016,-17.960967,-117.695306882181,-99.734339882181
"SWC-ZC-14-173B","SW-2014-1171283","SeaWorld of California","Sea lion, California","2014-NOV-08","CA","San Diego","CARLSBAD","SOUTH CARLSBAD STATE BEACH NEAREST CROSS STREETS. CARLSBAD BLVD AND ISLAND WAY. 25 YARDS SOUTH OF LGT #27",33.638,32.8061558059814,-0.831844194018615,-117.1925,-117.233907868453,-0.0414078684533337
"SWC-ZC-15-679B","SW-2015-1173050","SeaWorld of California","Sea lion, California","2015-APR-16","CA","San Diego","CARLSBAD","CARLSBAD. SOUTH JETTY AT TAMARACK BEACH. CANNON AND TAMARACK.",33.643,32.8061558059814,-0.836844194018617,-117.1854,-117.233907868453,-0.0485078684533278
"SWC-ZC-13-93B","SW-2013-1150628","SeaWorld of California","Sea lion, California","2013-MAR-08","CA","San Diego","CARLSBAD","CARLSBAD STATE BEACH-100 YARDS NORTH OF TOWER 29",33.647,32.8061558059814,-0.840844194018615,-117.1915,-117.233907868453,-0.0424078684533242
"SWFSC-KXD-0129","SW-2007-1068165","Southwest Fisheries Science Center","Dolphin, common, short-beaked","2007-JUN-28","CA","San Diego","CARLSBAD","SOUTH CARLSBAD STATE BEACH, JUST NORTH OF LIFEGUARD HEADQUARTERS",33.65,32.8061558059814,-0.843844194018615,-117.191,-117.233907868453,-0.0429078684533266
"SWC-AT-15-02B","SW-2015-1173801","SeaWorld of California","Seal, Guadalupe fur","2015-MAR-18","CA","San Diego","CARLSBAD","6450 CARLSBAD BOULEVARD. SOUTH CARLSBAD STATE BEACH NEAR THE HILTON GARDEN INN.",33.6513,32.8061558059814,-0.845144194018616,-117.19279,-117.233907868453,-0.0411178684533269
"SWC-ZC-15-781B","SW-2015-1173750","SeaWorld of California","Sea lion, California","2015-JUN-04","CA","San Diego","CARLSBAD","CARLSBAD BOULEVARD AND AVENIDAS ENCINAS. NORTH PONTO BEACH, COAST HIGHWAY, NORTH OF TOWER 28.",33.653,32.8061558059814,-0.846844194018615,-117.1928,-117.233907868453,-0.0411078684533237
"SWC-ZC-16-221B","SW-2016-1183287","SeaWorld of California","Sea lion, California","2016-MAR-17","CA","San Diego","CARLSBAD","1/2 MILE SOUTH OF PALOMAR AIRPORT ROAD. ANIMAL WAS ON THE SIDE OF THE ROAD.",33.656,32.8061558059814,-0.849844194018615,-117.193,-117.233907868453,-0.0409078684533313
"SWC-ZC-10-93B","SW-2010-1121416","SeaWorld of California","Sea lion, California","2010-MAY-01","CA","San Diego","CARLSBAD","TOWER 28, CARLSBAD BLVD AND CARLSBAD VILLAGE DRIVE",33.69892,32.8061558059814,-0.892764194018618,-117.20564,-117.233907868453,-0.0282678684533266
"SWFSC-KXD0112","SW-2006-1063117","Southwest Fisheries Science Center","Whale, humpback","2006-NOV-15","CA","San Diego","CARLSBAD","SOUTH CARLSBAD STATE BEACH (NORTHERN END AT ""HOLE IN THE WALL"")",33.7,32.8061558059814,-0.893844194018619,NA,-117.233907868453,NA
"FMMMCC-14-202","SW-2014-1159150","Fort MacArthur Marine Mammal Care Center","Sea lion, California","2014-APR-16","CA","Los Angeles","SAN PEDRO","CABRILLO BEACH",33.709728,33.9463884433333,0.236660443333335,-1183122,-118.555894658204,1183003.44410534
"FMMMCC-15-600","SW-2015-1179707","Fort MacArthur Marine Mammal Care Center","Sea lion, California","2015-MAY-31","CA","Los Angeles","San Pedro","Cabrillo Beach",33.709728,33.9463884433333,0.236660443333335,-118283122,-118.555894658204,118283003.444105
"SWC-ZC-16-14B","SW-2016-1181260","SeaWorld of California","Sea lion, California","2016-JAN-18","CA","San Diego","CARLSBAD","CARLSBAD STATE BEACH. NEAREST CROSS STREETS ARE CARLSBAD BOULEVARD AND SOLAMAR DRIVE",33.7133,32.8061558059814,-0.907144194018613,-117.1937,-117.233907868453,-0.0402078684533222
"SWC-MA-15-17B","SW-2015-1173646","SeaWorld of California","Seal, northern elephant","2015-APR-28","CA","San Diego","CARLSBAD","SHORE DRIVE AND COAST HIGHWAY.5243 SHORE DRIVE BELOW CLIFFS. TERRAMAR BEACH.",33.71461,32.8061558059814,-0.908454194018617,-117.2056,-117.233907868453,-0.0283078684533251
"SWC-ZC-15-611B","SW-2015-1173304","SeaWorld of California","Sea lion, California","2015-APR-02","CA","San Diego","CARLSBAD","CARLSBAD STATE BEACH. ANIMAL ON CARLSBAD BOULEVARD BEWTEEN PALOMAR AIRPORT ROAD AND ISLAND WAY.",33.718,32.8061558059814,-0.91184419401862,-117.1955,-117.233907868453,-0.0384078684533335
"SWC-ZC-15-557B","SW-2015-1173489","SeaWorld of California","Sea lion, California","2015-MAR-26","CA","San Diego","CARLSBAD","CARLSBAD. SOLAMAR DRIVE AND CARLSBAD BOULEVARD.",33.7181,32.8061558059814,-0.911944194018616,-117.19425,-117.233907868453,-0.0396578684533324
"FMMCC-07-127-R1","SW-2007-1071215","Fort MacArthur Marine Mammal Care Center","Sea lion, California","2007-MAY-04","CA","Los Angeles","SAN PEDRO","WHITES POINT / ROYAL PALMS",33.718447,33.9463884433333,0.227941443333336,-1118.3227,-118.555894658204,999.766805341796
"PMMC-Z-13-03-16-133","SW-2013-1149534","Private Citizen (SW)","Sea lion, California","2013-MAR-16","CA","Orange","HUNTINGTON BEACH",NA,33.726525,33.4288729554098,-0.297652044590166,-11.083097,-117.695306882181,-106.612209882181
