National Database Number,Field Number,Nmfs Regional Number,Confidence Code,Common Name,Genus,Species,Report Status,Examiner Name,Affiliation,Stranding Agreement/Authority,Region,City - from strandings table,County,State,Body of Water,Locality Detail,Latitude,Latitude Units,Latitude Actual/Estimate,Longitude,Longitude Units,Longitude Actual/Estimate,How lat/long determined,Restrand,Findings of Human Interaction,Boat Collision,Shot,Fishery Interaction,Other Human Interaction,Other Human Int Description,How Determined: External Exam,How Determined: Internal Exam,How Determined: Necropsy,How Determined: Other,Observation Date,Year of Observation,Month of Observation,Day of Observation,How Observed,Observation Date Act/Est,Observation Status,Not Able to Examine,Date of Examination,Year of Examination,Month of Examination,Day of Examination,Condition at Examination,Left at Site,Sex,Age Class,2007 Whole Carcass,2007 Partial Carcass,Length,Length Units,Length actual/estimate,Weight,Weight Units,Weight actual/estimate,Necropsied Flag,Necropsy Limited Flag,Necropy Carcass Fresh/Frozen,Date of Necropsy,Year of Necropsy,Month of Necropsy,Day of Necropsy,Stranding Necropsied By,Additional Remarks,Additional Identifiers
NW-2007-1070285,2007-SJ082,07NWR08033,Confirmed - High Report,"Porpoise, harbor",Phocoena,phocoena,Validated,Amy Traxler,Whale Museum,San Juan County Marine Mammal Stranding Network,NW,Orcas Island,San Juan,WA,President's Channel,Spring Passage,48 38 00,deg/min/sec,estimate,123 02 00,deg/min/sec,estimate,Map,N,CBD,N,N,N,N,,,,,,2007-AUG-31,2007,AUG,31,Floating,,Fresh Dead,N,2007-SEP-01,2007,SEP,1,Fresh Dead,N,FEMALE,SUBADULT,,,120,cm,actual,21.4,kg,actual,Y,,,2007-SEP-10,2007,SEP,10,J Gaydos,This porpoise was picked up in an area where there has been an unusual amount of harbor porpoise sightings/activity/feeding all summer long.,
NW-2015-1177260,CRC-1487,15NWR07072,Confirmed- High Report,"Porpoise, harbor",Phocoena,phocoena,Validated,Erin Keene,Cascadia Research,Cascadia Research,NW,Ocean Shores,Grays Harbor,WA,Pacific Ocean,1225 Ocean Shores Blvd SW,46.939,dd.dddd,actual,–124.175,dd.dddd,actual,Internet/Software,N,N,N,N,N,N,,Y,Y,Y,,2015-JUL-09,2015,JUL,9,Beach or Land,,Fresh Dead,N,2015-JUL-09,2015,JUL,9,Fresh Dead,N,FEMALE,PUP/CALF,Y,N,91,cm,actual,8.1,kg,actual,Y,complete,fresh,2015-JUL-09,2015,JUL,9,CRC,,
NW-2007-1071073,2007-SJ093,07NWR10043,Confirmed - High Report,"Porpoise, harbor",Phocoena,phocoena,Validated,Amy Traxler,Whale Museum,San Juan County Marine Mammal Stranding Network,NW,Shaw Island,San Juan,WA,Indian Cove,Shaw County Park,48.551944,decimal degrees,estimate,122.934444,decimal degrees,estimate,Map,N,CBD,N,N,N,N,,,,,,2007-OCT-14,2007,OCT,14,Beach or Land,,Fresh Dead,N,2007-OCT-15,2007,OCT,15,Fresh Dead,N,MALE,PUP/CALF,,,100,cm,actual,14.4,kg,actual,Y,,,2007-OCT-16,2007,OCT,16,J. Gaydos,"This calf was fresh dead when reported but was quite heavily scavenged by the time the SJCMMSN got to it. We were still able to get some good samples from it, however.",
NW-2012-1145864,PSU12-05-29-Pp,12NWR05117,Confirmed - High,"Porpoise, harbor",Phocoena,phocoena,Validated,Debbie Duffield,Portland State University,Portland State University,NW,Seaview,Pacific,WA,Pacific,0.7 mile south of Seaview Beach access,46.32008,dd.dddd,actual,–124.06928,dd.dddd,,GPS,N,Y,N,N,Y,N,,Y,N,Y,N,2012-MAY-29,2012,MAY,29,Beach or Land,,Advanced Decomposition,N,2012-MAY-29,2012,MAY,29,Advanced Decomposition,N,MALE,ADULT,Y,N,148,cm,actual,0,kg,estimate,Y,complete,fresh,2012-MAY-30,2012,MAY,30,Duffield et al.,,
NW-2004-1042641,2004-SJ057,04NWR07086,Confirmed - High Report,"Porpoise, Dall's",Phocoenoides,dalli,Validated,Whale Museum,Whale Museum,Whale Museum,NW,San Juan Island,San Juan,WA,Puget Sound,Pile Point; Haro Strait,,,,,,,,N,N,N,N,N,N,,,,,,2004-JUL-21,2004,JUL,21,Floating,,Fresh Dead,N,2004-JUL-21,2004,JUL,21,Fresh Dead,N,MALE,,,,86,cm,actual,9.55,kg,actual,Y,,,2004-JUL-22,2004,JUL,22,Raverty and Gaydos,found floating dead after being played with by L-pod southern resident killer whales,
NW-2017-1197041,CRC-1590,17NWR06051,Confirmed- High Report,"Whale, gray",Eschrichtius,robustus,Validated,Jessie Huggins,Cascadia Research,Cascadia Research,NW,Taholah,Grays Harbor,WA,Pacific Ocean,"Elephant Rock, QIN",47.4545,decimal degrees,actual,–124,decimal degrees,actual,GPS,N,Y,N,N,Y,N,,Y,Y,Y,N,2017-JUN-12,2017,JUN,12,Beach or Land,,Moderate Decomposition,N,2017-JUN-16,2017,JUN,16,Moderate Decomposition,N,UNKNOWN,SUBADULT,Y,N,908,cm,actual,,,,Y,limited,fresh,2017-JUN-16,2017,JUN,16,CRC,had to wait for tribal escort for response.,
NW-2009-1105023,PSU09-04-28-Pp,09NWR04034,Confirmed - Medium,"Porpoise, harbor",Phocoena,phocoena,Validated,Debbie Duffield,Portland State University,Portland State University,NW,Long Beach,Pacific,WA,Pacific Ocean,3 miles north of Cranberry approach,46.43938,dd.dddd,,–124.06065,dd.dddd,,GPS,N,CBD,N,N,N,N,,N,N,N,N,2009-APR-28,2009,APR,28,Beach or Land,,Moderate Decomposition,N,2009-APR-30,2009,APR,30,Moderate Decomposition,N,MALE,ADULT,Y,N,142,cm,actual,0,lb,estimate,Y,Complete,Frozen,2009-MAY-05,2009,MAY,5,Duffield and D'Alessandro,,
NW-2014-1158439,PSU14-05-19B-Pp,14NWR05063,Confirmed - High Report,"Porpoise, harbor",Phocoena,phocoena,Validated,Debbie Duffield,Portland State University,Portland State University,NW,Seaview,Pacific,WA,Pacific,near access,46.32453,dd.dddd,actual,–124.06797,dd.dddd,,GPS,N,Y,N,N,Y,N,,Y,N,Y,N,2014-MAY-19,2014,MAY,19,Beach or Land,,Moderate Decomposition,N,2104-MAY-19,2104,MAY,19,Moderate Decomposition,N,MALE,ADULT,Y,N,139,cm,actual,0,kg,,Y,complete,fresh,2014-MAY-22,2014,MAY,22,Duffield and Powell,,
NW-2011-1131019,CRC-1144,11NWR03001,Confirmed- High Report,"Porpoise, harbor",Phocoena,phocoena,Validated,Lisa Schlender,Cascadia Research,Cascadia Research,NW,Moclips,Grays Harbor,WA,Pacific Ocean,4707 SR 109,47.7188,dd.dddd,,–124.2076,dd.dddd,,Internet/Software,N,CBD,N,N,N,N,,Y,Y,Y,,2011-MAR-04,2011,MAR,4,Beach or Land,,Moderate Decomposition,N,2011-MAR-07,2011,MAR,7,Moderate Decomposition,N,MALE,ADULT,N,Y,172,cm,Estimated,55,kg,Estimated,Y,Limited,Fresh,2011-MAR-07,2011,MAR,7,CRC,Beacon Pest Control responded and transferred photos to CRC; Jason Tom-Ocean City State Parks retrieved animal(04Mar11) and transferred to Lschlender(05Mar11).,CRC-1144
NW-2016-1191236,CRC-1521,16NWR04068,Confirmed- High Report,"Whale, gray",Eschrichtius,robustus,Validated,Jessie Huggins,Cascadia Research,Cascadia Research,NW,Vashon,King,WA,Puget Sound,"Vashon Island, E side mid (initial sighting)",47.4066,dd.dddd,estimate,–123,dd.dddd,estimate,Internet/Software,N,N,N,N,N,N,,Y,Y,Y,,2016-APR-18,2016,APR,18,Floating,,Fresh Dead,N,2016-APR-19,2016,APR,19,Fresh Dead,N,MALE,YEARLING,Y,N,880,cm,actual,,,,Y,limited,fresh,2016-APR-20,2016,APR,20,CRC,Id'd as same whale sighted live on 30 Mar in nisqually and 6 apr in Ballard Locks. Not same as Foss Waterway on 07 Apr.,
NW-2005-1044877,CRC-560,05NWR06003,Confirmed - Medium Report,"Porpoise, harbor",Phocoena,phocoena,Validated,Cascadia Research,Cascadia Research,Cascadia Research,NW,Ocean Shores,Grays Harbor,WA,Pacific Ocean,,,,,,,,,N,CBD,N,N,N,N,,,,,,2005-JUN-03,2005,JUN,3,Beach or Land,,Moderate Decomposition,N,2005-JUN-03,2005,JUN,3,Moderate Decomposition,N,FEMALE,ADULT,,,125,cm,actual,,,,N,,,,,,,,picked up and transferred to B. Hanson (NWFSC) for later necropsy,WDFW0605-03
NW-2016-1192681,HMSC16-10-28-Sc,16NWR10029,Confirmed - High Report,"Dolphin, striped",Stenella,coeruleoalba,Validated,Jim Rice,"Marine Mammal Institute, OSU","Marine Mammal Institute, OSU",NW,Port Orford,Curry,OR,Pacific Ocean,"dock beach or ""dog beach""",42.74116,dd.dddd,,–124.49789,dd.dddd,,GPS,N,CBD,N,N,N,N,,N,N,N,N,2016-OCT-28,2016,OCT,28,Floating,,Moderate Decomposition,N,2016-OCT-29,2016,OCT,29,Moderate Decomposition,N,FEMALE,ADULT,Y,N,222,cm,actual,0,lb,estimate,N,,,,,,,,photographed and measured by volunteers,
NW-2003-1000653,MBHPp03-001,03NWR03001,Confirmed - High Report,"Porpoise, harbor",Phocoena,phocoena,Validated,B. Hanson,NOAA Fisheries,NOAA Fisheries,NW,Samish Island,Skagit,WA,Puget Sound,SE side of island,,,,,,,,,N,N,N,N,,,,,,,2003-MAR-07,2003,MAR,7,Beach or Land,,Fresh Dead,N,2003-MAR-09,2003,MAR,9,Fresh Dead,,FEMALE,ADULT,,,65,in,estimate,,kg,actual,N,,,,,,,,,
NW-2005-1048195,05Pp18AugWI-01,05NWR08026,Confirmed - Medium Report,"Porpoise, harbor",Phocoena,phocoena,Validated,Volunteer Organization,Central Puget Sound Marine Mammal Stranding Network,Central Puget Sound Marine Mammal Stranding Network,NW,Whidbey Island,Island,WA,Puget Sound,Bush Point,,,,,,,,N,CBD,N,N,N,N,,,,,,2005-AUG-18,2005,AUG,18,Beach or Land,,Fresh Dead,N,2005-AUG-18,2005,AUG,18,Fresh Dead,N,MALE,PUP/CALF,,,95,cm,actual,11.4,kg,actual,N,,,,,,,,,
NW-2017-1197747,HMSC17-09-11-Kb,17NWR09018,Confirmed - High Report,"Whale, pygmy sperm",Kogia,breviceps,Validated,Jim Rice,"Marine Mammal Institute, OSU","Marine Mammal Institute, OSU",NW,Newport,Lincoln,OR,Pacific Ocean,"in front of sign #60A, Yaquina Bay State Park",44.622508,decimal degrees,,–124.067742,decimal degrees,,GPS,N,CBD,N,N,N,N,,N,N,N,N,2017-SEP-11,2017,SEP,11,Beach or Land,,Advanced Decomposition,N,2017-SEP-11,2017,SEP,11,Advanced Decomposition,N,MALE,ADULT,N,Y,304,cm,estimate,0,lb,estimate,N,,,,,,,,,
NW-2014-1159483,CRC-1384,14NWR06045,Confirmed- High Report,"Whale, humpback",Megaptera,novaeangliae,Validated,Dyanna Lambourn,WDFW/MMI,WDFW/MMI,NW,Grayland,Grays Harbor,WA,Pacific Ocean,1.5 m N of cranberry Rd,46.8157,dd.dddd,actual,–124.103,dd.dddd,actual,GPS,N,Y,N,N,Y,Y,,Y,Y,Y,,2014-JUN-25,2014,JUN,25,Beach or Land,,Moderate Decomposition,N,2014-JUN-25,2014,JUN,25,Moderate Decomposition,N,MALE,PUP/CALF,Y,N,785,cm,actual,,,,Y,limited,fresh,2014-AUG-26,2014,AUG,26,WDFW/CRC,whale washed in dead at high tide. Laying on back.,
NW-2004-1054337,PSU04-07-16Pp,04NWR07117,Confirmed - High Report,"Porpoise, harbor",Phocoena,phocoena,Validated,D. Duffield,Portland State University,Portland State University,NW,Warrenton,Clatsop,OR,Pacific Ocean,.75 mi N of Sunset Beach,46.0954,decimal degrees,estimate,123.5526,decimal degrees,estimate,Internet,N,N,N,N,N,N,,,,,,2004-JUL-16,2004,JUL,16,Beach or Land,,Moderate Decomposition,N,2004-JUL-16,2004,JUL,16,Moderate Decomposition,N,FEMALE,ADULT,,,160,cm,actual,,,,Y,,,2005-APR-12,2005,APR,12,"Duffield, D.",,
NW-2012-1145865,HMSC12-05-30-Pp,12NWR05118,Confirmed - High,"Porpoise, harbor",Phocoena,phocoena,Validated,Jim Rice,"Marine Mammal Institute, OSU","Marine Mammal Institute, OSU",NW,Newport,Lincoln,OR,Pacific Ocean,"Beverly Beach, just south of Spencer Creek",44.728207,dd.dddd,,–124.058405,dd.dddd,,GPS,N,CBD,N,N,N,N,,N,N,N,N,2012-MAY-30,2012,MAY,30,Beach or Land,,Fresh Dead,N,2012-MAY-31,2012,MAY,31,Fresh Dead,N,FEMALE,SUBADULT,Y,N,135.5,cm,actual,67,lb,actual,Y,complete,fresh,2012-MAY-31,2012,MAY,31,"Jim Rice, Jane Holbrook",,
NW-2015-1177822,15Pp15OctWH-32,15NWR10014,Confirmed - High Report,"Porpoise, harbor",Phocoena,phocoena,Validated,Whatcom MMSN Volunteer,Whatcom Marine Mammal Stranding Network,Whatcom Co. MMSN,NW,Ferndale,Whatcom,WA,Pacific Ocean,Lummi Shore,48.774257,decimal degrees,actual,–122.6463903,decimal degrees,actual,Internet,N,CBD,N,N,N,N,,N,N,N,N,2015-OCT-15,2015,OCT,15,Beach or Land,,Fresh Dead,N,2015-OCT-15,2015,OCT,15,Fresh Dead,N,MALE,ADULT,Y,N,66,in,actual,175,lb,actual,Y,,fresh,2015-OCT-15,2015,OCT,15,Alysha Elsby LVT,"Deceased possible F2 Hybrid Necropsy ? Harden Road, Ferndale, WA ? 10/15/15 Deceased hybrid was found outside of the residence 3556 Harnden Road, on the beach on 10/15/15. Gross External Examination: Carcass was found in lateral recumbency on the beach. Carcass intact in mint condition ? fresh dead. There were some abrasions on tail fluke from dragging on the rocks. Sex is Male. Gross Internal Examination: Performed necropsy in ventro-dorsal and Left lateral recumbency. Did not remove any ribs, only cut sternum to access heart. Nose: clear. Mouth: clear. Teeth: intact, adult and worn down Eyes: clear. Ears: clear. Mediastinum: intact. Lungs: intact, no signs of disease process. Heart: intact in pericardial sac. Diaphragm: intact. Liver: intact, no evidence of disease process. Stomach: empty, no evidence of disease process. Small Intestines: Full of gas, no evidence of disease process. Large Intestines/Colon: Full of gas, empty, no signs of disease process. Kidneys: intact, no evidence of disease processes. Testes: intact, no evidence of disease process. Penis: intact, no evidence of disease process. Rectum/Anus: intact, no evidence of disease process. Overall Condition: BCS 2.5/5. Cause of death: Undetermined. Samples sent off to the lab for testing. Skin samples sent to Vancouver for genetic analysis. Carcass on hold to be sent off to NMML for bone testing. Necropsy preformed by: Alysha Elsby, LVT. Sincerely, Alysha Elsby",
NW-2017-1196068,PSU17-04-28-Pp,17NWR04041,Confirmed - High Report,"Porpoise, harbor",Phocoena,phocoena,Validated,Debbie Duffield,Portland State University,Portland State University,NW,Ocean Park,Pacific,WA,Pacific Ocean,"south of 225th Street access, Klipsan Beach",46.45445,decimal degrees,actual,–124.06011,decimal degrees,actual,GPS,N,Y,N,N,Y,N,,Y,N,Y,N,2017-APR-28,2017,APR,28,Beach or Land,,Moderate Decomposition,N,2017-APR-28,2017,APR,28,Moderate Decomposition,N,FEMALE,ADULT,Y,N,174.5,cm,actual,,,,Y,complete,frozen,2017-MAY-04,2017,MAY,4,Duffield et al.,,
NW-2011-1131673,2011-SJ006,11NWR06001,Confirmed - Medium Report,"Porpoise, harbor",Phocoena,phocoena,Validated,Amy Traxler,Whale Museum,San Juan County Marine Mammal Stranding Network,NW,Lopez Island,San Juan,WA,Pacific Ocean,303 Hodgson Rd - private beach,48.448162,decimal degrees,estimate,–122.90519,decimal degrees,estimate,Internet,N,CBD,N,N,N,N,,N,N,N,N,2011-JUN-01,2011,JUN,1,,,Advanced Decomposition,Y,,,,,,N,UNKNOWN,YEARLING,N,Y,101,cm,estimate,,,,N,,,,,,,,"This carcass was washed out by the tide before a volunteer could respond; however, owner of property took several good photos with which to confirm ID and get an approximate estimate of age and length.",
NW-2005-1044853,CRC-547,05NWR05023,Confirmed - Medium Report,"Whale, gray",Eschrichtius,robustus,Validated,Cascadia Research,Cascadia Research,Cascadia Research,NW,Ocean City,Grays Harbor,WA,Pacific Ocean,,47/04.94,decimal degrees,actual,124/10.73,decimal degrees,actual,GPS,N,CBD,N,N,N,N,,,,,,2005-MAY-23,2005,MAY,23,Beach or Land,,Advanced Decomposition,N,2005-MAY-24,2005,MAY,24,Advanced Decomposition,N,UNKNOWN,YEARLING,,,930,cm,actual,,,,N,,,,,,,,large amount of dark fluid in abdominal cavity,
NW-2016-1193352,MKH2016-004,16NWR04078,Confirmed- Medium Report,"Porpoise, harbor",Phocoena,phocoena,Validated,Quinton Thompson,Makah Fisheries Management,Makah Fisheries Management,NW,Neah Bay,Clallam,WA,Strait of Juan de Fuca,3rd Beach,48.3678,dd.dddd,estimate,–125,dd.dddd,estimate,Internet/Software,N,CBD,N,N,N,N,,Y,N,N,,2016-APR-27,2016,APR,27,Beach or Land,,Fresh Dead,N,2016-APR-27,2016,APR,27,Fresh Dead,N,UNKNOWN,PUP/CALF,Y,N,52,cm,actual,,,,N,,,,,,,,Carcass heavily scavenged with skin only present from blowhole to snout and the end of the peduncle. The rest of body was scavenged to the bone.,
NW-2014-1159518,14-CL-022,14NWR06047,Confirmed - Medium Report,"Porpoise, harbor",Phocoena,phocoena,Validated,Coast Guard,USCG,USCG,NW,Port Angeles,Clallam,WA,Pacific Ocean,Straight of Juan de Fuca,48.141839,decimal degrees,estimate,–123.434708,decimal degrees,estimate,,N,CBD,N,N,N,N,,N,N,N,N,2014-JUN-09,2014,JUN,9,Beach or Land,,Advanced Decomposition,N,2014-JUN-09,2014,JUN,9,Advanced Decomposition,N,UNKNOWN,ADULT,N,N,60,in,estimate,150,lb,estimate,N,,,,,,,,,
NW-2002-1027167,001-02,NMFSNW-4724,,"Porpoise, harbor",Phocoena,phocoena,Validated,M. Klope,,NAS Whidbey,NW,Whidbey Island,Island,WA,,West Beach @ Swantown Lake; Oak Harbor,,,,,,,,,N,N,N,N,N,,,,,,2002-JAN-15,2002,JAN,15,,,Fresh Dead,N,2002-JAN-15,2002,JAN,15,Moderate Decomposition,N,UNKNOWN,,,,,cm,actual,,kg,actual,N,,,,,,,,,4724
NW-2014-1159833,PSU14-07-10-Pp,14NWR07099,Confirmed - High Report,"Porpoise, harbor",Phocoena,phocoena,Validated,Debbie Duffield,Portland State University,Portland State University,NW,Long Beach,Pacific,WA,Pacific,1.5 mi north of Cranberry access,46.30917,dd.dddd,actual,–124.07224,dd.dddd,,GPS,N,CBD,N,N,N,N,,N,N,N,N,2014-JUL-10,2014,JUL,10,Beach or Land,,Moderate Decomposition,N,2104-JUL-14,2104,JUL,14,Mummified/Skeletal,N,UNKNOWN,SUBADULT,N,Y,0,cm,,0,kg,,N,,,,,,,,,
NW-2012-1152648,WDFW2012-198,12NWR10068,Confirmed- High Report,"Porpoise, harbor",Phocoena,phocoena,Validated,Dyanna Lambourn,WDFW/MMI,WDFW/MMI,NW,Kingston,Kitsap,WA,Puget Sound,1/3 mileoff the kingston ferry terminal,47.7925,dd.dddd,estimate,–122.487,dd.dddd,estimate,Internet/Software,N,Y,N,N,Y,N,,Y,Y,Y,,2012-OCT-31,2012,OCT,31,Floating,,Fresh Dead,N,2012-OCT-31,2012,OCT,31,Fresh Dead,N,FEMALE,ADULT,N,Y,165,cm,estimate,70,kg,estimate,Y,complete,fresh,2012-NOV-01,2012,NOV,1,"WDFW/MMI, CRC",Reported dead floating in way of the Kingston Ferry ~1/3 mile off shore about 30 feet away from free floating net that had on markings. Gill net was collected. Then ~ 30 min later Port collected floating porpoise as well. Tail stock and fluke was report,WDFW2012-198
NW-2001-1045713,MBH2001-Pp001,01NWR03005,Confirmed - High Report,"Porpoise, harbor",Phocoena,phocoena,Validated,WDFW,WDFW/MMI,Washington Department of Fish and Wildlife,NW,,Clallam,WA,Strait of Juan de Fuca,1/2 way between Pillar Point and Slip Point,,,,,,,,N,CBD,N,N,N,N,,,,,,2001-MAR-19,2001,MAR,19,Floating,,Fresh Dead,N,2001-MAR-19,2001,MAR,19,Fresh Dead,N,FEMALE,SUBADULT,,,149,cm,actual,,,,Y,,,2001-JUN-01,2001,JUN,1,"Walker, B. and Hanson, B.",,
NW-2016-1192157,PSU16-11-03-Pp,16NWR11007,Confirmed - Medium Report,"Porpoise, harbor",Phocoena,phocoena,Validated,D. Duffield,Portland State University,Portland State University,NW,Cannon Beach,Clatsop,OR,Pacific Ocean,Crescent Beach at Ecola State Park,45.91006,decimal degrees,estimate,–123.96913,decimal degrees,estimate,Internet,N,CBD,N,N,N,N,,N,N,N,N,2016-NOV-03,2016,NOV,3,Beach or Land,,Mummified/Skeletal,N,2016-NOV-03,2016,NOV,3,Mummified/Skeletal,N,UNKNOWN,UNKNOWN,N,Y,0,cm,estimate,,,,N,,,,,,,,,
NW-2016-1185607,EJC_2016_002,16NWR05002,Confirmed - Minimum,"Porpoise, harbor",Phocoena,phocoena,OPEN,Marine Science Center Port Townsend (East Jefferson Co. MMSN),,Marine Mammal Stranding Center,NW,Port Townsend,Jefferson County,WA,Pacific Ocean,"North of McCurdy Point Rd. Port Townsend, WA",,decimal degrees,estimate,,decimal degrees,estimate,,N,CBD,N,N,N,N,,N,N,N,N,2016-MAY-22,2016,MAY,22,Beach or Land,,Advanced Decomposition,Y,,,,,,N,UNKNOWN,UNKNOWN,Y,N,137.16,cm,estimate,0,kg,estimate,N,,,,,,,,Dead Harbor Porpoise found north of McCurdy Point. There was significant scavenging exposing about half of the skeleton. May have a broken bone towards the tail. Level A filled out from photos.,
NW-2016-1191238,CRC-1523,16NWR05074,Confirmed- High Report,"Porpoise, harbor",Phocoena,phocoena,Validated,Jessie Huggins,Cascadia Research,Cascadia Research,NW,Ocean Shores,Grays Harbor,WA,Pacific Ocean,near casino,47.032,dd.dddd,actual,–124,dd.dddd,actual,GPS,N,N,N,N,N,N,,Y,Y,Y,,2016-MAY-03,2016,MAY,3,Beach or Land,,Fresh Dead,N,2016-MAY-03,2016,MAY,3,Fresh Dead,N,MALE,SUBADULT,Y,N,120,cm,actual,85,lb,estimate,Y,complete,fresh,2016-MAY-03,2016,MAY,3,CRC,"found dead on beach, necropsied same day.",
NW-2006-1065057,PSU06-07-22-Pp,06NWR07122,Confirmed - Medium,"Porpoise, harbor",Phocoena,phocoena,Validated,Debbie Duffield,Portland State University,Portland State University,NW,Long Beach,Pacific,WA,Pacific Ocean,one mile north of Cranberry Rd approach,46.4098,decimal degrees,,124.061,decimal degrees,,Internet,N,CBD,N,N,N,N,,,,,,2006-JUL-22,2006,JUL,22,Beach or Land,,Moderate Decomposition,N,2006-JUL-22,2006,JUL,22,Moderate Decomposition,N,FEMALE,YEARLING,,,66,cm,estimate,0,lb,estimate,NA,,,,,,,,"carcass transported to Keith, then to PSU",
NW-2011-1140056,CRC-1161,11NWR06067,Confirmed- High Report,"Porpoise, harbor",Phocoena,phocoena,Validated,Jessie Huggins,Cascadia Research,Cascadia Research,NW,Ocean Shores,Grays Harbor,WA,Pacific Ocean,163 Ocean Shores Blvd SW,46.9822,dd.dddd,,–124.1725,dd.dddd,,Internet/Software,N,CBD,N,N,N,N,,Y,N,N,,2011-JUN-23,2011,JUN,23,Beach or Land,,Moderate Decomposition,Y,2011-JUN-27,2011,JUN,27,Moderate Decomposition,N,UNKNOWN,ADULT,Y,N,5,ft,Estimated,0,,,N,,,,,,,,"looked for it during beach survey on 27-Jun, could not find.",CRC-1161
NW-2002-1027217,CA 188,NMFSNW-4770,,"Whale, killer",Orcinus,orca,Validated,NMML,,Unknown,NW,Dungeness Spit,Clallam,WA,,in Dungeness Bay,,,,,,,,,N,N,N,N,N,,,,,,2002-JAN-02,2002,JAN,2,,,Alive,N,2002-JAN-02,2002,JAN,2,Alive,N,MALE,,,,,cm,actual,,kg,actual,N,,,,,,,,stranded along with CA189 (see SID # 4769),4770
NW-2007-1074673,PSU07-08-20-Pp,07NWR08106,Confirmed - High,"Porpoise, harbor",Phocoena,phocoena,Validated,Debbie Duffield,Portland State University,Portland State University,NW,Pacific City,Tillamook,OR,Pacific Ocean,"across from Thousand Trails campground, McPhillips Beach, 1/2 mile south of beach access road",45.2312,decimal degrees,,–123.972200,decimal degrees,,GPS,N,CBD,N,N,N,N,,N,N,N,N,2007-AUG-20,2007,AUG,20,Beach or Land,,Fresh Dead,N,2007-AUG-20,2007,AUG,20,Fresh Dead,N,FEMALE,PUP/CALF,Y,N,93.7,cm,estimate,0,lb,estimate,Y,complete,fresh,2007-AUG-21,2007,AUG,21,Duffield and Barros,"initially reported as a dead baby gray whale; PSU responded while JR was on vacation, carcass collected and necropsied at PSU",HMSC07-08-20-Pp
NW-2010-1121741,HMSC10-07-17-Pp,10NWR07060,,"Porpoise, harbor",Phocoena,phocoena,Validated,Jim Rice,"Marine Mammal Institute, OSU","Hatfield Marine Science Center, OSU",NW,North Bend,Coos,OR,Pacific Ocean,Just North of Horsfall,43.456917,dd.dddd,,–124.276517,dd.dddd,,GPS,N,CBD,N,N,N,N,,N,N,N,N,2010-JUL-17,2010,JUL,17,Beach or Land,,Fresh Dead,N,2010-JUL-17,2010,JUL,17,Fresh Dead,N,UNKNOWN,PUP/CALF,Y,N,76,cm,estimate,0,lb,estimate,NA,,,,,,,,photographed by Beach Ranger,
NW-2011-1135062,PSU11-02-13-Pp,11NWR02019,Confirmed - High,"Porpoise, harbor",Phocoena,phocoena,Validated,Debbie Duffield,Portland State University,Portland State University,NW,Long Beach,Pacific,WA,Pacific Ocean,in grass at Beard's Hollow,46.30606,dd.dddd,,–124.07196,dd.dddd,,GPS,N,CBD,N,N,N,N,,N,N,N,N,2011-FEB-13,2011,FEB,13,Beach or Land,,Fresh Dead,N,2011-FEB-14,2011,FEB,14,Moderate Decomposition,N,FEMALE,ADULT,Y,N,162.3,cm,actual,0,lb,estimate,Y,Complete,Frozen,2011-MAR-31,2011,MAR,31,D'Alessandro et al,,
NW-2013-1148154,2013-SJ005,13NWR04003,Confirmed - Minimum,"Porpoise, Dall's",Phocoenoides,dalli,Validated,Patrick Charapata,Whale Museum,Whale Museum,NW,Friday Harbor,San Juan,WA,Pacific Ocean,"A beach by American Camp, in between Grannys Cove and South Beach",48.457733,decimal degrees,estimate,–123.016834,decimal degrees,estimate,Internet,N,CBD,N,N,N,N,,N,N,N,N,2013-APR-28,2013,APR,28,Beach or Land,,Condition Unknown,Y,2013-APR-28,2013,APR,28,Condition Unknown,N,UNKNOWN,UNKNOWN,N,N,0,cm,estimate,,,,N,,,,,,,,"A second hand report from a NPS ranger at American Camp's visitors center ON San Juan Island. The location of the animal was not precise, but an investigation occurred. Searched for two hours, but could not find the animal. I met up with the citizen who told the Park Ranger about the stranding due to him sending a Whale Museum staff member an email about the stranding. He told me he went back two days later to the spot they first saw it and it was gone. He believed it was a Dall's porpoise. A straight length could not be given.",
NW-2011-1139638,HMSC11-12-26-Er,11NWR12021,Confirmed - High,"Whale, gray",Eschrichtius,robustus,Validated,Jim Rice,"Hatfield Marine Science Center, OSU","Hatfield Marine Science Center, OSU",NW,Bandon,Coos,OR,Pacific Ocean,Just south of Face Rock Wayside,43.1041,dd.dddd,,–124.43503,dd.dddd,,GPS,N,CBD,N,N,N,N,,N,N,N,N,2011-DEC-25,2011,DEC,25,Beach or Land,,Moderate Decomposition,N,2011-DEC-27,2011,DEC,27,Moderate Decomposition,N,FEMALE,SUBADULT,Y,N,1212,cm,actual,0,lb,estimate,N,,,,,,,,,
